Nume_problema,Cunostinte_necesare
1507-soricel,Prelucrarea unei matrice prin înlocuirea fiecărui element cu diferența față de cel mai apropiat pătrat perfect; calcularea valorilor maxime și frecvențelor pentru o valoare dată; parcurgere tip șarpe pentru determinarea celei mai lungi secvențe consecutive cu aceeași valoare.
1529-descmult,Generarea tuturor divizorilor unui număr dat prin multiplicarea factorilor primi la diferite puteri; utilizarea proprietății de numărare a divizorilor; filtrare a divizorilor într-un interval dat.
1530-gazon,Împărțirea unei suprafețe în parcele în funcție de dimensiuni și distanțe; calculul numărului de zone și costului total în funcție de cazuri particulare de simetrie și resturi.
1531-pietre,Simulare de mișcare pe o grilă cu reguli de împingere a obiectelor; alegerea poziției inițiale care maximizează numărul de obiecte mutate; actualizare și afișare a pozițiilor rămase după execuția secvenței.
1459-teren,Utilizarea unei matrice pentru marcarea zonelor revendicate; calculul valorilor maxime și verificarea submatricilor libere; folosirea sumei parțiale 2D pentru verificări rapide.
1481-cod,Verificarea divizibilității numerelor reprezentate ca secvențe de cifre pentru un set de divizori; contorizarea numerelor care îndeplinesc criteriul; separarea cazurilor pentru diferite intervale de divizori.
1482-perm,Identificarea segmentelor dintr-o permutare ce formează secvențe consecutive; utilizarea sumei și a frecvenței pentru detectarea finalului segmentului; etichetarea fiecărui element cu numărul segmentului.
1483-robotel,Detectarea perechilor de roboți orientați opus pe aceeași linie sau coloană; simulare de deplasare pe tablă în funcție de instrucțiuni; contorizarea deplasărilor pe direcții.
1505-faleza,Parcurgere a două șiruri paralele cu actualizare de valori pentru a asigura conectivitatea; determinarea numărului minim de intervenții pentru a evita întreruperile.
1506-peste,Transformarea numerelor prin eliminarea a două cifre alăturate pentru a maximiza valoarea obținută; contorizarea perechilor de cifre și determinarea celei mai frecvente; sortare personalizată în funcție de concatenare.
1576-puternic,Verificarea numerelor puternice prin factorizare în primi și condiția ca toți exponenții să fie cel puțin 2; identificarea pătratelor și cuburilor perfecte; combinarea a două numere pentru a obține un număr puternic.
1592-iluminat,Simulare de eliminare a unei linii și coloane în funcție de cea mai mare valoare; actualizare matrice și contorizare elemente eliminate; folosirea sumei parțiale 2D pentru determinarea submatricii k×k cu sumă maximă.
1593-inundatie,Determinarea diferenței maxime între valori; calculul volumului necesar umplerii secțiunilor joase; căutare binară pentru poziția maximă ce respectă o limită de volum; identificarea indicelui de umplere optim.
1594-siruri,Verificarea dacă un șir are toate caracterele distincte; concatenarea șirurilor consecutive cu eliminarea caracterelor duplicate; determinarea numărului de șiruri obținute și a lungimii maxime.
2640-codificare,Identificarea minimului și maximului pentru valori cu prima cifră pară; calculul unei puteri de 10 pe baza unei formule simple.
1553-maya,Numărarea literelor cu apariția maximă; simularea deplasării pe o grilă hexagonală pe baza unui cod de mișcare; actualizarea coordonatelor și gestionarea marginilor.
1554-optime,Generarea numerelor prime cu ciurul; prelucrarea ultimei cifre a numerelor prime; calculul unei sume sau determinarea secvenței cu sumă maximă într-un tablou circular.
1555-roata,Simulare de rotație circulară a unei secvențe; ajustarea valorilor pentru a evita repetările; calculul și afișarea pozițiilor obținute la fiecare pas.
1574-butoi,Generarea tuturor combinațiilor posibile de recipiente pentru atingerea unui volum țintă; identificarea combinației cu numărul minim de utilizări; determinarea secvenței continue de recipiente cu sumă maximă care divide volumul.
1575-pasari,Determinarea celei mai bune coloane pe baza vizibilității în toate direcțiile; utilizarea stivelor monotone pentru calculul celulelor vizibile; combinarea informațiilor pentru a găsi coordonata cu vizibilitatea maximă.
2642-sim,Simulare de mișcare pe o grilă cu direcții codificate numeric; calculul celulelor de destinație după un pas; utilizarea ridicării la putere binară pentru simularea rapidă a k pași și numărarea perechilor care ajung în aceeași celulă.
3739-diff,Determinarea frecvenței maxime a unei valori; calculul diferenței maxime între frecvența minimă și maximă curentă; analiză pe perechi de valori distincte pentru a maximiza diferența cumulată folosind prefixe și minime parțiale.
3740-prime,Generarea numerelor prime până la N cu ciurul lui Eratostene; răspuns rapid la interogări despre numărul de prime într-un interval; calcul combinatoric al distanțelor dintre pozițiile numerelor prime.
3741-special,Prelucrare modulară a coordonatelor pentru a număra cazurile care duc la anumite resturi; verificarea conținutului numeric al valorilor pentru apariții repetate ale cifrelor 1 sau 2; analiză pe traiectorii în grilă.
2641-esm,Identificarea secvențelor de trei numere care respectă o relație de produs; determinarea celor mai apropiate poziții ale divizorilor unui număr; acumularea sumelor pozițiilor maxime pentru toate elementele din secvență.
